Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
1B0F824D-2D6A-AA1C-157D-E2FEE382B665,"Date_0_0_0",1,,LOGDT007,27,,,,DATE,Date,
F4FD1111-D00A-597F-D279-41F85E14EE88,"NUMERIC_10_0_0",2,,LOGDT019,47,0,10,0,NUMBER,NUMERIC,
19FEFF71-4F92-B5FC-492D-7470D7AA0B70,"NUMERIC_2_0_0",3,,LOGDT019,47,0,2,0,NUMBER,NUMERIC,
8CC48457-A093-D065-C33A-B1FD8D858943,"NUMERIC_20_0_0",4,,LOGDT019,47,0,20,0,NUMBER,NUMERIC,
1E71195C-8401-D714-D95D-1B3943EEF6FD,"NUMERIC_4_0_0",5,,LOGDT019,47,0,4,0,NUMBER,NUMERIC,
82A43AB0-28A2-DE11-2CCD-516CBB28D6C4,"NUMERIC_5_0_0",6,,LOGDT019,47,0,5,0,NUMBER,NUMERIC,
35325A47-35F2-B28B-4EFB-24BF59D63E6B,"NUMERIC_6_0_0",7,,LOGDT019,47,0,6,0,NUMBER,NUMERIC,
578EC10E-AC6F-D8B0-AB9C-A9C8158C0CE8,"NUMERIC_6_2_0",8,,LOGDT019,47,0,6,2,NUMBER,NUMERIC,
DOM3000004,"Unknown",9,,LOGDT017,14,,,,UNKNOWN,unknown,
D8AD3056-FDC9-9962-A52B-3A8522B824A6,"VARCHAR_0_0_1",10,,LOGDT024,75,1,0,0,VARCHAR2,VARCHAR,
4F913148-71D5-8EFB-1BF0-447A85B713FC,"VARCHAR_0_0_15",11,,LOGDT024,75,15,0,0,VARCHAR2,VARCHAR,
CF9FC0CB-F358-D553-B753-5222BC8024AD,"VARCHAR_0_0_20",12,,LOGDT024,75,20,0,0,VARCHAR2,VARCHAR,
1E28A39F-1772-79B5-9406-AB5AC70ABAF6,"VARCHAR_0_0_30",13,,LOGDT024,75,30,0,0,VARCHAR2,VARCHAR,
