Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT017,14,"unknown",
LOGDT005,15,"Audio",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,16,"BFile",
LOGDT027,17,"BIGINT",
LOGDT033,18,"BINARY",
LOGDT056,19,"BINARY DOUBLE",
LOGDT055,20,"BINARY FLOAT",
LOGDT034,21,"BIT",
LOGDT029,22,"BLOB",
LOGDT006,23,"Boolean",
LOGDT025,24,"CHAR",
LOGDT028,25,"CLOB",
LOGDT030,26,"DATALINK",
LOGDT007,27,"Date",
LOGDT008,28,"Datetime",
91229484-D19C-D458-8647-333C7FFE7B60,29,"DATETIME2",
LOGDT054,30,"DBURIType",
LOGDT026,31,"DECIMAL",
69230305-AB6A-99EB-35A1-CC306D543604,32,"DECFLOAT",
LOGDT020,33,"DOUBLE",
LOGDT021,34,"FLOAT",
LOGDT031,35,"GRAPHIC",
LOGDT052,36,"HTTPURIType",
LOGDT049,37,"INTERVAL DAY TO SECOND",
LOGDT048,38,"INTERVAL YEAR TO MONTH",
LOGDT010,39,"Image",
LOGDT011,40,"Integer",
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,41,"Long Char",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,42,"Long_Raw",
LOGDT043,43,"MONEY",
LOGDT035,44,"NCHAR",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,45,"NClob",
LOGDT036,46,"NTEXT",
LOGDT019,47,"NUMERIC",
LOGDT037,48,"NVARCHAR",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,49,"ORDAUDIO",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,50,"ORDDOC",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,51,"ORDIMAGE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,52,"ORDIMAGE_SIGNATURE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,53,"ORDVIDEO",
LOGDT022,54,"REAL",
LOGDT032,55,"ROWID",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,56,"Raw",
LOGDT038,57,"SMALLDATETIME",
LOGDT018,58,"SMALLINT",
LOGDT044,59,"SMALLMONEY",
LOGDT045,60,"SQL_VARIANT",
LOGDT039,61,"SYSNAME",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,62,"SYS_ANYDATA",
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,63,"SYS_ANYDATASET",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,64,"SYS_ANYTYPE",
LOGDT040,65,"TEXT",
LOGDT047,66,"TIMESTAMP WITH LOCAL TIME ZONE",
LOGDT046,67,"TIMESTAMP WITH TIME ZONE",
LOGDT042,68,"TINYINT",
LOGDT014,69,"Time",
LOGDT015,70,"Timestamp",
LOGDT057,71,"UNIQUEIDENTIFIER",
LOGDT051,72,"URIType",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,73,"URowID",
LOGDT041,74,"VARBINARY",
LOGDT024,75,"VARCHAR",
LOGDT023,76,"VARGRAPHIC",
LOGDT016,77,"Video",
LOGDT053,78,"XDBURIType",
LOGDT050,79,"XMLType",
A3A3C77D-0366-9768-FF89-1C25E56881C8,80,"String",
47823B89-BECE-2D4A-B641-EE3BE6149078,81,"JSON",
